ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Тошко Йорданов Хаджитодоров, Веселин Асенов Белоконски, Наско Христов Рафаилов, Светозар Стоянов Съев, Диян Галинов Асенов, Сергей Петков Инджов, Деян Димитров Господинов, Димитър Симеонов Костадинов, Илия Костадинов Костадинов, Александър Иванов Атанасов, Костадин Тодоров Костадинов, Николай Стефанов Радулов, Даниел Максим Лорер, Дарина Недева Тодорова, Диан Иванчев Драганов, Младен Йорданов Станев, Бояна Миленова Йорданова, Иван Димов Иванов, Димитър Генчев Димитров, Арман Агоп Бабикян, Даниел Павлов Митов, Наум Асенов Наумов, Борислав Гуцанов Гуцанов, Юлиана Младенова Матеева, Андрей Петров Слабаков, Иван Димитров Казаков, Филиз Хакъева Хюсменова, Илиян Иванов Илиев, Андрей Александрович Ваховски, Деян Сашев Александров, Николай Илиев Петков
Константин Маринов Маринов, , , , , , Нели Димитрова Минкова, Димитър Желчев Желев, , , Теди Руменова Иванова, , Дияна Тодорова Николова, , , , , Ивелина Тодорова Атанасова, , , Пламена Георгиева Недялкова, , Татяна Добромирова Тодорова, , Моника Миленова Атанасова, , Расим Кемал Халил, , , , 
, , , , , , Ивайло Ростиславов Рачев, Даниела Добринова Иванова, , , Юлиян Каменов Губатов, , Константин Свиленов Праматаров, , , , , Георги Чавдаров Янков, , , Николай Стефанов Йорданов, , Евгени Йорданов Колев, , Петър Георгиевич Турлаков, , Мустафа Рамадан Джемил, , , , 
, , , , , , , Тихомир Димов Георгиев, , , Светослав Тодоров Йорданов, , Николай Стефанов Стефанов, , , , , Тодор Васков Тодоров, , , Аффе Исмаилова Ибрямова, , Валентина Стоянова Велчева-Данева, , Нели Христова Георгиева, , Зафер Джефер Юмер, , , , 
, , , , , , , Миглена Веселинова Атанасова, , , Диян Йорданов Атанасов, , София Любомирова Колева, , , , , Станчо Василев Станев, , , Веселин Генчев Тодоров, , Злати Василев Иванов, , Ивелин Георгиев Иванов, , Неджвет Бехчет Шакир, , , , 
, , , , , , , Калинка Иванова Георгиева, , , Мария Георгиева Кенкова, , Николай Денев Николов, , , , , Диана Йорданова Янева, , , Биляна Кръстева Добрева, , Росен Милчев Милков, , , , Хабил Билгинов Хабилов, , , , 
, , , , , , , Христина Петрова Маринишева, , , Веселин Стоянов Георгиев, , Мартин Валентинов Димитров, , , , , Радослава Петрова Димитрова, , , Иван Валериев Йотов, , Росица Георгиева Илиева, , , , Георги Василев Георгиев, , , , 
, , , , , , , Росица Пенчева Йорданова, , , Инна Дианова Иванова, , Ярослав Тодоров Луков, , , , , Мария Василева Никова, , , Мартин Иванов Пеев, , Николай Великов Иванов, , , , Сюлейман Исмет Сюлейман, , , , 
, , , , , , , Десислава Иванова Фотева, , , Венцислав Михайлов Георгиев, , Йордан Юлиянов Кателиев, , , , , Александър Милчев Стефанов, , , Юлияна Петрова Кайрякова, , Ивайло Константинов Пехливанов, , , , Мехмед Хасанов Мехмедов, , , , 
, , , , , , , Ивана Георгиева Данкова, , , Георги Ангелов Георгиев, , Недко Янакиев Желязков, , , , , Снежана Васкова Петрова, , , Николай Тошков Николов, , Петър Росенов Русев, , , , Емрал Турханов Еминов, , , , 
, , , , , , , , , , Георги Христов Георгиев, , Петко Димитров Попов, , , , , , , , Павел Динчев Христов, , , , , , Абибе Мустафова Хасан, , , , 
, , , , , , , , , , , , , , , , , , , , Георги Савов Недев, , , , , , Хълми Сейфиев Белев, , , , 
